EX_1,Y_1_star,P_1_star,RR_1_star,EX_2,Y_2_star,P_2_star,RR_2_star,EX_3,Y_3_star,P_3_star,RR_3_star,EX_4,Y_4_star,P_4_star,RR_4_star,cons
0.10719005305132967,0.011167312748805325,-0.030998470001239276,-0.004957383735122808,-0.010767727968239882,0.028938293748799523,-0.04354366495425779,-0.005798715107805537,0.002491741721479812,0.017583398251027046,-0.04334097258727806,-0.0034013024983374574,-0.05121240678214001,0.019200392691580363,-0.02091507508878237,6.315262060358029e-05,1.0
-0.05027960389191932,0.021611024913261185,-0.02899065203767199,-0.005198246027874687,0.10719005305132967,0.011167312748805325,-0.030998470001239276,-0.004957383735122808,-0.010767727968239882,0.028938293748799523,-0.04354366495425779,-0.005798715107805537,0.002491741721479812,0.017583398251027046,-0.04334097258727806,-0.0034013024983374574,1.0
-0.00015816834277693204,0.022619018365154227,-0.02462744056452716,0.0028214009303167537,-0.05027960389191932,0.021611024913261185,-0.02899065203767199,-0.005198246027874687,0.10719005305132967,0.011167312748805325,-0.030998470001239276,-0.004957383735122808,-0.010767727968239882,0.028938293748799523,-0.04354366495425779,-0.005798715107805537,1.0
0.10470358912099442,0.04114305107417748,-0.01791417864735451,0.01655446984721389,-0.00015816834277693204,0.022619018365154227,-0.02462744056452716,0.0028214009303167537,-0.05027960389191932,0.021611024913261185,-0.02899065203767199,-0.005198246027874687,0.10719005305132967,0.011167312748805325,-0.030998470001239276,-0.004957383735122808,1.0
0.13348316298911023,0.03393894644737883,-0.008721689331395105,0.02103953968111414,0.10470358912099442,0.04114305107417748,-0.01791417864735451,0.01655446984721389,-0.00015816834277693204,0.022619018365154227,-0.02462744056452716,0.0028214009303167537,-0.05027960389191932,0.021611024913261185,-0.02899065203767199,-0.005198246027874687,1.0
0.1051865765827511,0.011901674943654158,0.006550593164884719,0.02643877645975472,0.13348316298911023,0.03393894644737883,-0.008721689331395105,0.02103953968111414,0.10470358912099442,0.04114305107417748,-0.01791417864735451,0.01655446984721389,-0.00015816834277693204,0.022619018365154227,-0.02462744056452716,0.0028214009303167537,1.0
0.09353259025529503,0.01676600901473053,0.014028256588491899,0.02312719575417427,0.1051865765827511,0.011901674943654158,0.006550593164884719,0.02643877645975472,0.13348316298911023,0.03393894644737883,-0.008721689331395105,0.02103953968111414,0.10470358912099442,0.04114305107417748,-0.01791417864735451,0.01655446984721389,1.0
0.13510703111738565,0.01062941535596995,0.007846018289931126,0.018060408541434505,0.09353259025529503,0.01676600901473053,0.014028256588491899,0.02312719575417427,0.1051865765827511,0.011901674943654158,0.006550593164884719,0.02643877645975472,0.13348316298911023,0.03393894644737883,-0.008721689331395105,0.02103953968111414,1.0
0.17058343658976227,0.021242923467641377,0.009730276141865123,0.010009950223199948,0.13510703111738565,0.01062941535596995,0.007846018289931126,0.018060408541434505,0.09353259025529503,0.01676600901473053,0.014028256588491899,0.02312719575417427,0.1051865765827511,0.011901674943654158,0.006550593164884719,0.02643877645975472,1.0
0.10507042043625958,0.0181140502499602,0.021121764026610732,-0.005742369575420351,0.17058343658976227,0.021242923467641377,0.009730276141865123,0.010009950223199948,0.13510703111738565,0.01062941535596995,0.007846018289931126,0.018060408541434505,0.09353259025529503,0.01676600901473053,0.014028256588491899,0.02312719575417427,1.0
0.1690835291558539,0.02274369097192543,0.009091755810749433,-0.0029078437511797233,0.10507042043625958,0.0181140502499602,0.021121764026610732,-0.005742369575420351,0.17058343658976227,0.021242923467641377,0.009730276141865123,0.010009950223199948,0.13510703111738565,0.01062941535596995,0.007846018289931126,0.018060408541434505,1.0
