YT_1,Y_1_star,P_1_star,RR_1_star,YT_2,Y_2_star,P_2_star,RR_2_star,YT_3,Y_3_star,P_3_star,RR_3_star,YT_4,Y_4_star,P_4_star,RR_4_star,cons
0.008567017433014357,-0.010260918076383917,-0.008261969369362517,-0.009097883173626437,0.007817064317999112,-0.010125643517613768,-0.009801267782939155,-0.007982954891077306,-0.0037911385298645683,-0.010654543163769988,-0.00880381364063834,-0.003597080533712072,0.00925529510579004,-0.012102107348759926,-0.008862627438578297,-0.004857365880868001,1.0
-0.01471987798993446,-0.008228934144278591,-0.00988325557695344,-0.004188259596739344,0.008567017433014357,-0.010260918076383917,-0.008261969369362517,-0.009097883173626437,0.007817064317999112,-0.010125643517613768,-0.009801267782939155,-0.007982954891077306,-0.0037911385298645683,-0.010654543163769988,-0.00880381364063834,-0.003597080533712072,1.0
-0.014234888086622988,-0.001902233999671531,-0.012670238739207208,-0.006559318034461364,-0.01471987798993446,-0.008228934144278591,-0.00988325557695344,-0.004188259596739344,0.008567017433014357,-0.010260918076383917,-0.008261969369362517,-0.009097883173626437,0.007817064317999112,-0.010125643517613768,-0.009801267782939155,-0.007982954891077306,1.0
-0.008027270980468515,-0.0008538151975686727,-0.009098242886623682,-0.0006485653136169819,-0.014234888086622988,-0.001902233999671531,-0.012670238739207208,-0.006559318034461364,-0.01471987798993446,-0.008228934144278591,-0.00988325557695344,-0.004188259596739344,0.008567017433014357,-0.010260918076383917,-0.008261969369362517,-0.009097883173626437,1.0
0.003808438982614959,0.0022564581092658935,-0.009036696901488393,0.0037423922351812527,-0.008027270980468515,-0.0008538151975686727,-0.009098242886623682,-0.0006485653136169819,-0.014234888086622988,-0.001902233999671531,-0.012670238739207208,-0.006559318034461364,-0.01471987798993446,-0.008228934144278591,-0.00988325557695344,-0.004188259596739344,1.0
0.014037234655418729,0.0021897838715896024,-0.011857697153892836,0.0022848735479655533,0.003808438982614959,0.0022564581092658935,-0.009036696901488393,0.0037423922351812527,-0.008027270980468515,-0.0008538151975686727,-0.009098242886623682,-0.0006485653136169819,-0.014234888086622988,-0.001902233999671531,-0.012670238739207208,-0.006559318034461364,1.0
0.005550643279445211,0.0005778346520129839,-0.009950530614227193,0.0005434816522949535,0.014037234655418729,0.0021897838715896024,-0.011857697153892836,0.0022848735479655533,0.003808438982614959,0.0022564581092658935,-0.009036696901488393,0.0037423922351812527,-0.008027270980468515,-0.0008538151975686727,-0.009098242886623682,-0.0006485653136169819,1.0
-0.01017807463519027,0.0004177260125979411,-0.013995303086648009,-0.0012126690292203325,0.005550643279445211,0.0005778346520129839,-0.009950530614227193,0.0005434816522949535,0.014037234655418729,0.0021897838715896024,-0.011857697153892836,0.0022848735479655533,0.003808438982614959,0.0022564581092658935,-0.009036696901488393,0.0037423922351812527,1.0
-0.027088304180598044,-0.003525307078425361,-0.01551968596895001,-0.006600582576144911,-0.01017807463519027,0.0004177260125979411,-0.013995303086648009,-0.0012126690292203325,0.005550643279445211,0.0005778346520129839,-0.009950530614227193,0.0005434816522949535,0.014037234655418729,0.0021897838715896024,-0.011857697153892836,0.0022848735479655533,1.0
-0.015517922160757536,0.00011147805743815999,-0.016473452371118802,-0.01504191335453868,-0.027088304180598044,-0.003525307078425361,-0.01551968596895001,-0.006600582576144911,-0.01017807463519027,0.0004177260125979411,-0.013995303086648009,-0.0012126690292203325,0.005550643279445211,0.0005778346520129839,-0.009950530614227193,0.0005434816522949535,1.0
