,NX,Y_star,P_star,RR_star
1996-01-01,0.02902322802670909,-0.015144275838723846,-0.011956719301052016,-0.007064372407158362
1996-04-01,0.019068030090192423,-0.012422055031595824,-0.011419219189355873,-0.005976593197663279
1996-07-01,-0.025201920176623815,-0.009878952110826341,-0.01125710892629976,-0.008307281052725704
1996-10-01,-0.009159273214573105,-0.009573091905472645,-0.009148657327959988,-0.007710135412642223
1997-01-01,0.11051916725683775,-0.00663684060407539,-0.009564276445292152,-0.004341082878382593
1997-04-01,0.06068742729366683,-0.0003469986753712495,-0.011679398018978888,-0.004345740970193308
1997-07-01,0.0103744334701652,0.00032576929073986437,-0.009040546900229235,0.0007068557116474013
1997-10-01,0.0318533696287151,0.003176635345482489,-0.009639178601860676,0.004710440250215022
1998-01-01,-0.235794069543676,0.005153275358667099,-0.012798045993311967,0.0032336170651593352
1998-04-01,0.0029814690471852145,0.003647708666261583,-0.01214751604920773,0.002482500212010236
1998-07-01,-0.04577836340167707,0.004037195583066155,-0.01499039713751206,0.0031838122185834723
1998-10-01,-0.03472644704674721,0.004214326430000775,-0.015415124794806789,-0.0006561337841389092
1999-01-01,-0.0012543784489604803,0.006601882659920134,-0.015070401519317309,-0.008395974095898014
1999-04-01,-0.07073925895420885,0.005746242761023148,-0.012475085578605561,-0.010943202051850284
1999-07-01,-0.07872655196984901,0.012341170436113174,-0.010863324173158287,-0.011947963134914735
1999-10-01,0.005945801228898873,0.018848460404870856,-0.008416283959387398,-0.0062771892401118174
2000-01-01,-0.05790988164719835,0.023694077346677254,-0.004791672946846547,-0.004778241406613813
2000-04-01,-0.08635097802438807,0.027060587470672918,-0.004950277970070778,-0.0034689429201693045
2000-07-01,-0.0040458375894054655,0.025232098754173725,-0.0018586677849640576,0.004841846644780448
2000-10-01,-0.03603884660656931,0.02361492030908365,-0.0007019634174672671,0.011659222734436432
2001-01-01,-0.00787013246178958,0.023969865459905447,-0.0006862427328424952,0.00726437711564642
2001-04-01,0.1501865259501738,0.02065346405824766,0.004609709686599402,0.0074098871556175176
2001-07-01,0.10982159742644804,0.016294772534919302,0.0005488351813372425,0.002974271025511249
2001-10-01,0.31948421661327586,0.01314632608147234,-0.004069555043462289,-0.009255175216103773
2002-01-01,0.17672259181882488,0.010223717074019045,-0.003794885216796686,-0.012672105994040624
2002-04-01,0.2389507683494454,0.011775267353287126,-0.006926086424226803,-0.00484965920244066
2002-07-01,0.17374398612620467,0.00994950290265624,-0.005411735112821983,-0.004449897769941181
2002-10-01,0.21626369659113642,0.007509975385307515,-0.0007722973293806379,-0.004206428974676909
2003-01-01,0.20062376015863137,0.002828512723742168,0.0029832356927785133,-0.003149540818105809
2003-04-01,0.08191972952985793,0.0009563358462084691,-0.0025390266501699337,-0.012321850615665724
2003-07-01,0.03223807067818818,0.005731698917960547,-0.0023912337108231985,-0.01420852932930376
2003-10-01,0.08234894827205785,0.009008910374800344,-0.00358372391182895,-0.015362199818849332
2004-01-01,0.0796653200474573,0.011455179839624458,-0.006678250464087654,-0.013857641723118904
2004-04-01,-0.0362647584729725,0.012434035194309634,0.0008655635089038012,-0.01233855701568941
2004-07-01,0.032378266869182326,0.011016190505817485,0.0012839131810236817,-0.014797867856839987
2004-10-01,-0.010720687599299339,0.011527843885385261,0.0043609932105897154,-0.012276763071171358
2005-01-01,-0.133396463615286,0.012679338666420095,0.0025700682040244206,-0.010468206824211993
2005-04-01,-0.08889346427828215,0.015169529586953065,0.0025228607114201464,-0.011192084328865067
2005-07-01,-0.2726967335742483,0.018764904579278083,0.007369534035934221,-0.007094234151677809
2005-10-01,-0.28481321437748974,0.021257397806000077,0.006876898837537162,4.104758683818362e-05
2006-01-01,-0.4009262003480103,0.026315688518146703,0.00789927144458586,0.0012925200547265724
2006-04-01,-0.3046211136179835,0.03056220989096122,0.010655490565646577,0.004550581739689564
2006-07-01,-0.35048524824660454,0.03048670959958413,0.00832865360283327,0.009868033467685888
2006-10-01,-0.46844705813724197,0.035528291850641686,0.004302523778810798,0.003534446605985399
2007-01-01,-0.1678061002690754,0.03767454794930674,0.005469573144781184,0.0026098777958856074
2007-04-01,-0.24372485606805228,0.03920294486600784,0.0061004396926927894,0.0021294081554508577
2007-07-01,-0.30915668976589217,0.04098360262272101,0.0048280171637318575,-0.00040343267797731606
2007-10-01,-0.10300335106004077,0.04361376897947739,0.014823277034041052,0.019042823580653425
2008-01-01,-0.22307919352511796,0.0409661201463596,0.018593332196488427,0.025432217677143553
2008-04-01,0.03338271645133162,0.03593302646843417,0.02196831870881189,0.03554023000584279
2008-07-01,-0.07949429774328998,0.02587910324993317,0.029194336888581127,0.044273453004716114
2008-10-01,0.3528182794071313,0.003224790680182303,0.010481566945929957,0.02668014139493756
2009-01-01,0.30213268976286933,-0.02392367413533572,-0.0013150047313743184,-0.0018461067087895704
2009-04-01,0.24235765576166735,-0.028913642932555023,-0.009544087649201864,-0.008380709348228505
2009-07-01,0.2629393438750167,-0.029442122449915207,-0.015783766759182753,-0.011392837216644709
2009-10-01,0.21676291790182312,-0.026810173696768698,-0.004526798691803076,-0.014884240499791574
2010-01-01,0.1636579682972812,-0.022571920665122563,0.004493790676804858,-0.019158732330062524
2010-04-01,0.2423800022331477,-0.015730872502842982,0.004759872099143345,-0.022180835184618462
2010-07-01,0.16353938905076149,-0.013498022076235187,0.003146380672856832,-0.022120059049479505
2010-10-01,0.1651818619379366,-0.011117250132947579,0.006497819319549073,-0.01891081839739863
2011-01-01,0.10374297169873792,-0.009910894220218108,0.011259762921760699,-0.014230045603561111
2011-04-01,0.11775984291477037,-0.011467886660821144,0.015793678363630183,-0.007117976899604691
2011-07-01,0.1208141348424494,-0.010230693192779207,0.017318276525099614,-0.005291089301636673
2011-10-01,0.04157060483228214,-0.011938171609934758,0.015270404594666663,-0.005287088737635293
2012-01-01,0.009385410373894842,-0.010314404350925063,0.01172982126476558,-0.004109313545644609
2012-04-01,0.010338190035954042,-0.013492438185172881,0.006619033159293541,-0.00422527196995613
2012-07-01,0.059166535542868104,-0.015277933292836079,0.005788126422936333,-0.007089679256116651
2012-10-01,0.06548210726665715,-0.02011198532340463,0.006201839715096712,-0.0038916771632046075
2013-01-01,0.06722188094408743,-0.020235828463050533,0.003204464838813318,-0.002470144254362326
2013-04-01,0.015041628628058135,-0.018024919431753907,0.0022262434185866,-0.00315517821590869
2013-07-01,0.07420595164941801,-0.01531442636192004,0.004175477277444315,-0.0007540837006556157
2013-10-01,0.08397473461313965,-0.014819153270466692,0.0008258517382241598,0.0025987094735358545
2014-01-01,-0.01404093235616699,-0.013822674597163529,0.00018383957181315335,0.009999347362558187
2014-04-01,-0.016596951498730306,-0.012731630412098205,0.002512446232903124,0.007219804630721328
2014-07-01,-0.04118694474590079,-0.008993126698655514,0.0002271851992019051,0.007310013271872295
2014-10-01,-0.016930261217838805,-0.00689539368128404,-0.0033795776786194436,0.007020553954643722
2015-01-01,-0.11426729396402813,-0.00486045934176937,-0.010193487290485952,0.005036778455672843
2015-04-01,-0.024545606855721047,-0.003281404088963751,-0.0085183489795917,0.005875748024549097
2015-07-01,-0.05134499549786575,-0.0022210733646517533,-0.009201039464370548,0.004342117387117519
2015-10-01,-0.09768008174938814,-0.0031895149894656805,-0.008593766278308563,0.0006349067730460775
2016-01-01,-0.17932554149938973,-0.0018237075743685527,-0.006826823700926945,-0.0045666179567158014
2016-04-01,-0.10333906611340637,-0.002526813631681945,-0.007466523671756889,-0.001871976586367215
2016-07-01,-0.04016777520980597,-0.0026840682644638796,-0.00562498085511061,-0.0018311576520564244
2016-10-01,-0.0430989264177466,-0.0004850559564908141,-0.0013929063260758887,-0.0011133181052131692
2017-01-01,-0.10354921165006381,0.0019087164553131463,0.003930846621617612,0.0005692722016079025
2017-04-01,-0.13608136531053638,0.004141824175179881,0.0012339855414031297,-0.0016710953084143338
2017-07-01,-0.13823727540463615,0.005653707363195898,0.0009278082789215537,-0.002362483731000367
2017-10-01,-0.0653839673523322,0.006684228211535152,0.0006402597310573585,0.0007039391522045158
2018-01-01,-0.053772711506461235,0.004834497041515735,4.968224525318674e-05,0.006283557442424159
2018-04-01,-0.07154082367338255,0.0055679829352830055,0.0023520693857454534,0.007561574209034707
2018-07-01,-0.009430310935764297,0.0021728700868311086,0.0038931987089143244,0.010970248778264484
2018-10-01,0.015695951822397802,6.638599811834048e-05,0.0014988251185798624,0.012962167725821221
