,Y,Y_star,P_star,RR_star
1996-01-01,0.006607745877513338,-0.010593312970092061,-0.0837048399350319,-0.00689098112547638
1996-04-01,-0.005092570162483767,-0.004824227783528552,-0.07974867269382713,-0.004835505826557756
1996-07-01,-0.01271300139477205,-0.0036460865547654786,-0.07741174755462939,-0.008072357774965228
1996-10-01,-0.0068077291026984454,-0.0032896410555644786,-0.07318542603393412,-0.009052557723855189
1997-01-01,-0.0038109443293361522,-0.004367966519203421,-0.07130814282360605,-0.006026160319922223
1997-04-01,-0.0014358417342084095,0.0004103980265103152,-0.07041548176016203,-0.0037941405195602994
1997-07-01,-0.0008902586504557775,0.0012637920294629363,-0.06334687538739271,0.002325594056661073
1997-10-01,-0.0012368345832474148,0.003468312941893044,-0.0581795561779534,0.008805151956920446
1998-01-01,-0.0018154582274476638,0.007231191568973628,-0.05782536028402745,0.012352403234116122
1998-04-01,0.003760794093855324,0.003153757276914121,-0.05451565712072757,0.009755515048992728
1998-07-01,0.003133566163826984,0.0026381609703210853,-0.05609251217983565,0.005865313057550963
1998-10-01,-0.006537996305233662,0.0015321083543754187,-0.05523915923572386,-0.001833756279132379
1999-01-01,-0.01644887086635194,0.0027871347423443354,-0.05447522758472055,-0.013015492459045222
1999-04-01,-0.01646943749819485,0.0017718783098892822,-0.04955572386870077,-0.015885558117326
1999-07-01,-0.008411687312186444,0.00675764531542772,-0.04411471063580054,-0.017582332861985323
1999-10-01,-0.007797693840133846,0.010533660306657217,-0.037658258389399187,-0.010130244619841472
2000-01-01,-0.010592619928141644,0.01612146089135082,-0.02961238179532124,-0.0075201269568173825
2000-04-01,-0.010710855423514687,0.019745623858447678,-0.02765153131594923,-0.006230655617542693
2000-07-01,-0.012686337246076818,0.01642643696320757,-0.022607067762748154,0.002879150042693623
2000-10-01,-0.004657213640888003,0.015260843127736363,-0.019650560280919778,0.010727690062893426
2001-01-01,-0.008392725048299354,0.01809521291923651,-0.018071492369072302,0.0060926616703547085
2001-04-01,-0.011249677315310791,0.013600603913175422,-0.00741527227212249,0.008496184876389912
2001-07-01,-0.012858760788217793,0.008997320875228434,-0.00770779041720946,0.006553920054607614
2001-10-01,-0.015821021768880783,0.005597466085475076,-0.007956909869423597,-0.0037383286241174218
2002-01-01,-0.0033101460965063723,0.0025618663773540446,-0.0034267827611254536,-0.005129782614809624
2002-04-01,-0.00818452034820183,0.0028612945508902595,-0.00781439549033044,6.329981257130346e-05
2002-07-01,-0.00885738821490989,0.0023263278997302608,-0.0067749771888790476,-0.0014856223256236695
2002-10-01,-0.006334574521281056,-0.0015547601921871372,-0.0028898730053609225,-0.003782440980686875
2003-01-01,-0.007818731873744156,-0.0101630747926211,-0.0002919305051686173,-0.005473786540027959
2003-04-01,-0.006633155379255129,-0.011861413476844983,-0.002500657721688218,-0.014683210717931485
2003-07-01,-0.0035306420243461645,-0.008792114247040997,-0.0007725492859308036,-0.016994896099343553
2003-10-01,-0.0019152764421654922,-0.008113979225696993,-0.000743837944981303,-0.01736559539791291
2004-01-01,0.005173719141092548,-0.005748231886374695,-0.0022661022300119304,-0.015083936695821183
2007-07-01,0.030214235840338333,0.03681947691329233,0.018023050502093636,-0.001514739318355462
2007-10-01,0.0304700797614732,0.04255922926266099,0.027784387735766837,0.016963205461779554
2008-01-01,0.036755435830754024,0.04389959359915497,0.030638038492952335,0.0256506008235305
2008-04-01,0.040578728866005775,0.040904168726839815,0.033608011401187625,0.03661779943490994
2008-07-01,0.036354373805883355,0.032326894642231464,0.03767893719941245,0.0441417007204294
2008-10-01,-0.0010464550398125994,0.01106571798535867,0.021503621682596875,0.029539310525274393
2010-04-01,-0.04090697921883546,-0.013900894975675905,0.012149602629284264,-0.020144329422919903
2010-07-01,-0.03325310942136994,-0.011025804256375124,0.011072293962103434,-0.01950015329236824
2010-10-01,-0.03381144139703984,-0.007326020890867784,0.01305473072196519,-0.017772677918877808
2011-01-01,-0.02505822466969221,-0.0014945780470600864,0.017082256773188975,-0.01380200181316397
2011-04-01,-0.026183445556307916,-0.0029504404838856663,0.019524141583650734,-0.007373142186562111
2011-07-01,-0.024092190973433958,-0.0001125816198297372,0.02026808111908567,-0.005943771250912947
2011-10-01,-0.011855896608400585,-0.003882617265775517,0.019297315360093437,-0.004922477757061475
2012-01-01,-0.02996133618603558,-0.003523426433602241,0.015565377595315767,-0.0030772928544962642
2012-04-01,-0.03704500018686829,-0.0070753066290127975,0.01119438557370921,-0.002566595964024786
2012-07-01,-0.034137272924724016,-0.008666844757345043,0.010686408415853053,-0.005134823268107076
2014-04-01,0.010475215338120236,-0.008970950991394775,-0.00433843619591975,0.0067022532468318866
2014-07-01,0.01687335140056767,-0.006505560911365419,-0.00748014986769453,0.006960866112882839
2014-10-01,0.01884045100141485,-0.004324300656775918,-0.010913195975272936,0.007526339638186661
2015-01-01,0.031084263338941653,-0.003514649488548426,-0.017199963634599354,0.0073329496026004245
2015-04-01,0.027348955150152676,-0.002550841541879868,-0.013343459636746692,0.008866296859749484
2015-07-01,0.029265089380213993,-0.0005859686741129863,-0.014674849570718724,0.00679863476485449
2015-10-01,0.033351594237780446,-0.0001707929945148339,-0.015428711143243191,0.0020066111567118594
2016-01-01,0.020726179189400895,0.0018048373539136316,-0.015402394536957902,-0.005594999080896456
2016-04-01,0.026255326979093496,0.0007638261529736406,-0.017202349416450716,-0.0033960909948717866
2016-07-01,0.022329349266671628,-4.8046149660602827e-05,-0.014758568763691533,-0.0034236421304212118
2016-10-01,0.021141771255805963,0.0024732606092513114,-0.010485231845391692,-0.0026024037241911225
2017-01-01,0.024237537638395423,0.006079890891382319,-0.002997377824348418,6.485710898837752e-05
2017-04-01,0.024235798255823227,0.008073134970565886,-0.0046905810045085585,-0.0023259684606421038
2017-07-01,0.019809861744345625,0.010517961262440027,-0.00411402886747969,-0.003411587867576845
2017-10-01,0.01953296085894607,0.01208853650067253,-0.003461943412749644,-0.0011848024508736331
2018-01-01,0.021414240388761385,0.008212052077094278,-0.004245954129875315,0.004454367371578893
2018-04-01,0.013714809785913218,0.008665924893288967,0.00019878102146108885,0.0042893499523661395
2018-07-01,0.009079594296146354,0.0032673443037234983,0.0046835691126275196,0.007890160029116057
2018-10-01,-0.0010566231828406103,0.0008774586058419345,0.005611088372475885,0.010183338798598387
