E_1,Y_1_star,P_1_star,RR_1_star,E_2,Y_2_star,P_2_star,RR_2_star,E_3,Y_3_star,P_3_star,RR_3_star,E_4,Y_4_star,P_4_star,RR_4_star,cons
-0.014023470007742844,-0.015973664062465396,-0.014564744308782341,-0.0007024240946619736,-0.023667049054263423,-0.012588060963659251,-0.014536695575282033,0.0012930129762178868,-0.04101513282761182,-0.012053126059818158,-0.012215282714098476,0.0056849871043049855,-0.06444443868727134,-0.012372851726318754,-0.020011564399565522,0.0054526650021159235,1.0
-0.006746683150918642,-0.01701021105937314,-0.020471318786055116,-0.009381495128451779,-0.014023470007742844,-0.015973664062465396,-0.014564744308782341,-0.0007024240946619736,-0.023667049054263423,-0.012588060963659251,-0.014536695575282033,0.0012930129762178868,-0.04101513282761182,-0.012053126059818158,-0.012215282714098476,0.0056849871043049855,1.0
-0.018738815328286584,-0.016482876361970846,-0.021848751321805675,-0.006934483290030855,-0.006746683150918642,-0.01701021105937314,-0.020471318786055116,-0.009381495128451779,-0.014023470007742844,-0.015973664062465396,-0.014564744308782341,-0.0007024240946619736,-0.023667049054263423,-0.012588060963659251,-0.014536695575282033,0.0012930129762178868,1.0
-0.015999801295038196,-0.015572438082803652,-0.023873160226302793,-0.011083495451804145,-0.018738815328286584,-0.016482876361970846,-0.021848751321805675,-0.006934483290030855,-0.006746683150918642,-0.01701021105937314,-0.020471318786055116,-0.009381495128451779,-0.014023470007742844,-0.015973664062465396,-0.014564744308782341,-0.0007024240946619736,1.0
-0.0207222656156274,-0.015577389383471217,-0.02297608597488858,-0.01103211817440227,-0.015999801295038196,-0.015572438082803652,-0.023873160226302793,-0.011083495451804145,-0.018738815328286584,-0.016482876361970846,-0.021848751321805675,-0.006934483290030855,-0.006746683150918642,-0.01701021105937314,-0.020471318786055116,-0.009381495128451779,1.0
-0.04377896832917294,-0.013314736418846486,-0.023950561152054226,-0.005693095526720017,-0.0207222656156274,-0.015577389383471217,-0.02297608597488858,-0.01103211817440227,-0.015999801295038196,-0.015572438082803652,-0.023873160226302793,-0.011083495451804145,-0.018738815328286584,-0.016482876361970846,-0.021848751321805675,-0.006934483290030855,1.0
-0.049166112015671004,-0.008180267760910085,-0.030796141982856497,-0.0069577108725530825,-0.04377896832917294,-0.013314736418846486,-0.023950561152054226,-0.005693095526720017,-0.0207222656156274,-0.015577389383471217,-0.02297608597488858,-0.01103211817440227,-0.015999801295038196,-0.015572438082803652,-0.023873160226302793,-0.011083495451804145,1.0
-0.0576132211098912,-0.0063600087401699005,-0.032489759138332505,-0.002070634959036973,-0.049166112015671004,-0.008180267760910085,-0.030796141982856497,-0.0069577108725530825,-0.04377896832917294,-0.013314736418846486,-0.023950561152054226,-0.005693095526720017,-0.0207222656156274,-0.015577389383471217,-0.02297608597488858,-0.01103211817440227,1.0
-0.03855818969135871,-0.003701071817649664,-0.03202189457241283,0.0032126487193686938,-0.0576132211098912,-0.0063600087401699005,-0.032489759138332505,-0.002070634959036973,-0.049166112015671004,-0.008180267760910085,-0.030796141982856497,-0.0069577108725530825,-0.04377896832917294,-0.013314736418846486,-0.023950561152054226,-0.005693095526720017,1.0
-0.03407170761681577,-0.0008432426048958524,-0.02154151476142461,0.0030345696222149783,-0.03855818969135871,-0.003701071817649664,-0.03202189457241283,0.0032126487193686938,-0.0576132211098912,-0.0063600087401699005,-0.032489759138332505,-0.002070634959036973,-0.049166112015671004,-0.008180267760910085,-0.030796141982856497,-0.0069577108725530825,1.0
-0.02923726843645369,-0.0010004189130755287,-0.020513060797704742,0.0014581791898382452,-0.03407170761681577,-0.0008432426048958524,-0.02154151476142461,0.0030345696222149783,-0.03855818969135871,-0.003701071817649664,-0.03202189457241283,0.0032126487193686938,-0.0576132211098912,-0.0063600087401699005,-0.032489759138332505,-0.002070634959036973,1.0
-0.011854865232393763,-6.631432818609633e-05,-0.02185963234225298,-0.0006167900531191199,-0.02923726843645369,-0.0010004189130755287,-0.020513060797704742,0.0014581791898382452,-0.03407170761681577,-0.0008432426048958524,-0.02154151476142461,0.0030345696222149783,-0.03855818969135871,-0.003701071817649664,-0.03202189457241283,0.0032126487193686938,1.0
0.0035699912725055682,-0.0014730321008537117,-0.023435930774116813,-0.005072086393030825,-0.011854865232393763,-6.631432818609633e-05,-0.02185963234225298,-0.0006167900531191199,-0.02923726843645369,-0.0010004189130755287,-0.020513060797704742,0.0014581791898382452,-0.03407170761681577,-0.0008432426048958524,-0.02154151476142461,0.0030345696222149783,1.0
0.00022589597258715344,0.0025212643144966154,-0.03860220458282229,-0.013793133343244167,0.0035699912725055682,-0.0014730321008537117,-0.023435930774116813,-0.005072086393030825,-0.011854865232393763,-6.631432818609633e-05,-0.02185963234225298,-0.0006167900531191199,-0.02923726843645369,-0.0010004189130755287,-0.020513060797704742,0.0014581791898382452,1.0
