,Y,Y_star,P_star,RR_star
1988-04-01,-0.006672829473659547,-0.0012359898132965638,0.009794437931334084,-0.00566420521101145
1988-07-01,0.012621596258599155,0.00011459645130859077,0.01082897582206474,0.002985992440656032
1988-10-01,0.01854319715796393,0.006453703107709473,0.013152348899356864,0.012350278344310203
1989-01-01,0.032771516043631266,0.0069445713595558,0.00651644907956412,0.018698827229800218
1989-04-01,0.037215867221204846,0.012796716086957734,0.012619289045658734,0.033757692925138715
1989-07-01,-0.00539604595866372,0.012759734919744616,0.016776148698858896,0.03880923399101948
1989-10-01,0.014743602011185075,0.007052707890693903,0.016026185306510475,0.032541790493676954
1990-01-01,0.0227810793207901,0.007596097424627632,0.025281194592490074,0.03767266457866588
1990-04-01,0.015397024768184053,0.0031089021996086323,0.018409806959806464,0.04040184573151935
1990-07-01,0.013402880085195079,-0.006878177954200033,0.0054169700895081024,0.03784521528362234
1990-10-01,0.033221073440058646,-0.014163274570283975,0.012441164384870316,0.04195127649072642
1991-01-01,-0.010770677337035295,-0.027975657721261427,-0.001814480659209428,0.03351741318909397
1991-04-01,-0.024287174755789565,-0.03355624267082925,-0.01447782980723454,0.028242734713609354
1991-07-01,-0.016276532968543478,-0.037021343713738254,-0.01565305320900983,0.026015576007966227
1991-10-01,-0.023722853428299828,-0.04167208808640294,-0.02939191233669638,0.01883456122435464
1992-01-01,-0.02246442227266421,-0.04142159737986438,-0.03207230582739237,0.005465668525889157
1992-04-01,-0.018796419149323285,-0.04287020086382663,-0.03627004471108177,-0.0026112833473220273
1992-07-01,-0.044930040347598066,-0.04274095601160784,-0.04018404937215833,-0.010563182759613461
1992-10-01,-0.04237376523000336,-0.036563336950353506,-0.04508034290263185,-0.006754327234932506
1993-01-01,-0.02838693655816371,-0.03858991115272751,-0.038389547515374094,-0.0049752870330885355
1993-04-01,-0.026911180646587596,-0.03945502992348993,-0.03294453715836549,-0.010751258595774244
1993-07-01,-0.006495511529241327,-0.04276968196194331,-0.030438233742828242,-0.01522213972928994
1993-10-01,0.0020630278653754885,-0.03615838240640399,-0.031677457433647686,-0.018452096100644032
1994-01-01,0.02447098498068634,-0.02980273618587669,-0.03388449320346453,-0.025613186521113503
1994-04-01,0.019842797479146412,-0.02519487743887983,-0.032314251361341716,-0.02675231314915224
1994-07-01,0.012759401124503356,-0.024604076994714178,-0.029560867828675546,-0.023456459815920337
1994-10-01,0.013322860775655698,-0.02061071283511608,-0.02566499920256624,-0.012067871590810375
1995-01-01,0.01805181715319293,-0.024966256262060112,-0.016445264326999887,0.0023734156554043543
1995-04-01,0.026534645419012293,-0.028055610468853052,-0.008967526501197233,0.002377879867758289
1995-07-01,0.020098354645604388,-0.020471909437631608,-0.005345327639655887,0.004915421265906065
1995-10-01,0.022136427838178818,-0.024733095546181038,-0.005021828518287291,0.006226308109520827
1996-01-01,0.018128004038425516,-0.02065526455908446,-0.01564224209131062,0.0053959044524502595
